Empress Fogle, actor
Mary Mullane, actor
Irene Zhong, actor
Robbie Strauss, alto flute
Robert Thompson, bassoon
Sarah Ghandour, cello
Colin Guan, cello
Vanny Hu, cello
Mimi Hwang, cello
Gaeun Kim, cello
Alice Lee, cello
Angela Marvin, cello
David Mollenauer, cello
Jameson Platte, cello
Auden P. Smith, cello
Louis Staton, cello
Jiaxun Yao, cello
Mason Evans, choreographer
Anju Aoto, clarinet
Kingsley Hsieh, clarinet
Noah Jung, clarinet
Kate Kilgus, clarinet
Thomas Piercy, clarinet
Jaroslav Skuta, clarinet
Tyler Duncan, dancer
Lexie Elliott, dancer
Quinn Kuch, dancer
Shiyu Zhuo, dramaturg
John Brockett, electronics
Nathan Prillaman, electronics
Amorsima Trio, ensemble
Contemporaneous Ensemble, ensemble
The Dolphins Quartet, ensemble
Quartetto Goldberg, ensemble
The Rhythm Method Quartet, ensemble
Salastina String Quartet, ensemble
Talea Ensemble, ensemble
Sydney Feldman, flute
Minwu Hu, flute
Nava Payandeh, flute
Phoebe Rawn, flute
Sooah Jeong, flute and electronics
Robin Meiksins, flute and electronics
Phoebe Rawn, flute and electronics
Madeline Hall, guitar
Ziggy Johnston, guitar
Alejandro Lobo, guitar
Eric Reed, horn
Brooks Wisniewski, horn
Jada German, interactive sound / dance
Minwoo Jeong, interactive sound / percussion
Valentina Paolucci, interactive sound and video
Cashel Day-Lewis, librettist
Judy Hu, marimba
Karl Lee, marimba
Karl Olsen, marimba
Hanna Piao, marimba
Lauren Torey, mezzo-soprano
Tivoli Treloar, mezzo-soprano
Sarah Williams, oboe
Will Hopkins, percussion
AJ Hudson, percussion
Heeyeon Kim, percussion
David Lee, percussion
Levy Lorenzo, percussion
Sean MacCarthy-Grant, percussion
Colton Townsend, percussion
Peter White, percussion
Antoinette Cheng, piano
Baron Fenwick, piano
Jack Gao, piano
Benjamin Keating, piano
Marissa Kerbel, piano
William Lauricella, piano
Dovie Lepore-Currin, piano
Aly Soriano, piano
Daisy Sun, piano
Chanel Wang, piano
Daniel Wang, piano
Xinyue Zoey Zhou, piano
Dalila Lugo, soprano
Jasmin Ward, soprano
Xiaoya Wan, toy piano
Alan Lee, trombone
Austin Murray, trombone
Aidan Peterson, trumpet
Sergey Tyuteykin, trumpet
Julianna Bramble, viola
Greta Coleman, viola
Emily Freudigman, viola
Nathan Hillman, viola
George Ng, viola
Jake Westerbeke, viola
Sydney Whipple, viola
Lawrence Wong, viola
Gracie Carney, violin
Linda Chang, violin
Makenzie Hart, violin
Alayne Honaker, violin
Benjamin Davies Hudson, violin
Naomi-Jeanne Main, violin
Julie Minn, violin
Erin Emi Nishi, violin
Audrey Park, violin
Daniel Qi, violin
Dan Qiao, violin
Laura Scalzo, violin
Leo Trajano, violin
Sebastien Tsai, violin
Sam Vaillancourt, violin
Pierce Wang, violin
